t,x,y
1.833,-0.115,-0.143
1.867,-0.110,-0.142
1.900,-0.110,-0.142
1.933,-0.108,-0.142
1.967,-0.104,-0.142
2.000,-9.795E-2,-0.143
2.033,-9.422E-2,-0.145
2.067,-8.489E-2,-0.147
2.100,-7.369E-2,-0.148
2.133,-6.343E-2,-0.149
2.167,-5.131E-2,-0.152
2.200,-3.825E-2,-0.154
2.233,-2.425E-2,-0.157
2.267,-4.664E-3,-0.160
2.300,1.306E-2,-0.161
2.333,3.265E-2,-0.167
2.367,5.504E-2,-0.174
2.400,7.836E-2,-0.179
2.433,0.104,-0.188
2.467,0.136,-0.197
2.500,0.163,-0.206
2.533,0.198,-0.219
2.567,0.231,-0.230
2.600,0.269,-0.243
2.633,0.312,-0.254
2.667,0.355,-0.260
2.700,0.400,-0.265
2.733,0.445,-0.268
2.767,0.491,-0.265
2.800,0.535,-0.260
2.833,0.574,-0.251
2.867,0.616,-0.241
2.900,0.651,-0.231
2.933,0.689,-0.225
2.967,0.727,-0.220
3.000,0.759,-0.217
3.033,0.795,-0.217
3.067,0.828,-0.219
3.100,0.862,-0.221
3.133,0.899,-0.230
3.167,0.938,-0.237
3.200,0.979,-0.248
3.233,1.021,-0.263
3.267,1.064,-0.271
3.300,1.112,-0.285
3.333,1.164,-0.289
3.367,1.214,-0.289
3.400,1.257,-0.282
3.433,1.308,-0.273
