,mass A,,
t,x,y,
3.167,-0.109,-0.138
3.200,-0.108,-0.142
3.233,-0.104,-0.144
3.267,-0.103,-0.142
3.300,-9.608E-2,-0.144
3.333,-9.048E-2,-0.144
3.367,-7.929E-2,-0.149
3.400,-7.183E-2,-0.148
3.433,-6.250E-2,-0.152
3.467,-5.037E-2,-0.152
3.500,-3.545E-2,-0.153
3.533,-2.052E-2,-0.158
3.567,-4.664E-3,-0.160
3.600,1.399E-2,-0.164
3.633,3.358E-2,-0.169
3.667,5.410E-2,-0.171
3.700,7.649E-2,-0.176
3.733,0.103,-0.186
3.767,0.130,-0.194
3.800,0.160,-0.205
3.833,0.192,-0.216
3.867,0.226,-0.229
3.900,0.265,-0.243
3.933,0.306,-0.252
3.967,0.350,-0.259
4.000,0.396,-0.265
4.033,0.438,-0.268
4.067,0.482,-0.262
4.100,0.527,-0.257
4.133,0.568,-0.249
4.167,0.609,-0.242
4.200,0.646,-0.232
4.233,0.684,-0.223
4.267,0.721,-0.220
4.300,0.755,-0.217
4.333,0.787,-0.217
4.367,0.824,-0.215
4.400,0.860,-0.220
4.433,0.901,-0.229
4.467,0.937,-0.240
4.500,0.978,-0.248
4.533,1.020,-0.259
4.567,1.060,-0.272
4.600,1.105,-0.285
4.633,1.155,-0.289
4.667,1.203,-0.289
4.700,1.252,-0.283
4.733,1.300,-0.272
