,mass A,,
t,x,y,
0.000,0.000,0.000
0.033,0.005,-0.002
0.067,0.005,-0.002
0.100,0.005,0.000
0.133,0.006,-0.002
0.167,0.011,-0.002
0.200,0.018,-0.003
0.233,0.027,-0.005
0.267,0.035,-0.007
0.300,0.045,-0.007
0.333,0.054,-0.008
0.367,0.066,-0.014
0.400,0.085,-0.017
0.433,0.100,-0.017
0.467,0.117,-0.020
0.500,0.137,-0.026
0.533,0.157,-0.027
0.567,0.178,-0.035
0.600,0.203,-0.042
0.633,0.231,-0.050
0.667,0.262,-0.060
0.700,0.290,-0.072
0.733,0.328,-0.085
0.767,0.365,-0.095
0.800,0.405,-0.109
0.833,0.449,-0.117
0.867,0.492,-0.123
0.900,0.537,-0.124
0.933,0.582,-0.125
0.967,0.626,-0.119
1.000,0.665,-0.114
1.033,0.708,-0.105
1.067,0.744,-0.091
1.100,0.782,-0.087
1.133,0.819,-0.079
1.167,0.855,-0.074
1.200,0.887,-0.072
1.233,0.924,-0.076
1.267,0.962,-0.081
1.300,0.996,-0.084
1.333,1.034,-0.093
1.367,1.073,-0.101
1.400,1.113,-0.112
1.433,1.158,-0.124
1.467,1.202,-0.136
1.500,1.254,-0.144
1.533,1.301,-0.146
1.567,1.351,-0.143
1.600,1.398,-0.132
1.633,1.449,-0.125
