,mass A,,
t,x,y,
3.033,-0.111,-0.142
3.067,-0.109,-0.143
3.100,-0.105,-0.143
3.133,-9.981E-2,-0.144
3.167,-9.515E-2,-0.144
3.200,-8.862E-2,-0.146
3.233,-8.116E-2,-0.147
3.267,-7.276E-2,-0.147
3.300,-6.157E-2,-0.150
3.333,-4.944E-2,-0.156
3.367,-3.451E-2,-0.157
3.400,-1.959E-2,-0.156
3.433,-3.731E-3,-0.161
3.467,1.493E-2,-0.164
3.500,3.545E-2,-0.168
3.533,5.597E-2,-0.175
3.567,7.929E-2,-0.179
3.600,0.105,-0.186
3.633,0.132,-0.197
3.667,0.162,-0.205
3.700,0.197,-0.218
3.733,0.232,-0.230
3.767,0.270,-0.242
3.800,0.315,-0.256
3.833,0.354,-0.263
3.867,0.398,-0.268
3.900,0.442,-0.268
3.933,0.489,-0.264
3.967,0.533,-0.259
4.000,0.575,-0.252
4.033,0.613,-0.242
4.067,0.651,-0.231
4.100,0.689,-0.222
4.133,0.726,-0.217
4.167,0.758,-0.217
4.200,0.793,-0.215
4.233,0.831,-0.219
4.267,0.864,-0.224
4.300,0.899,-0.229
4.333,0.938,-0.240
4.367,0.978,-0.247
4.400,1.023,-0.260
4.433,1.064,-0.271
4.467,1.112,-0.284
4.500,1.159,-0.292
4.533,1.210,-0.287
4.567,1.256,-0.283
4.600,1.304,-0.274
