,mass A,,
t,x,y,
2.800,-0.113,-0.140
2.833,-0.108,-0.142
2.867,-0.106,-0.142
2.900,-0.101,-0.142
2.933,-9.608E-2,-0.143
2.967,-9.048E-2,-0.145
3.000,-8.116E-2,-0.147
3.033,-7.090E-2,-0.146
3.067,-6.157E-2,-0.148
3.100,-5.131E-2,-0.150
3.133,-3.638E-2,-0.154
3.167,-2.052E-2,-0.155
3.200,-5.597E-3,-0.160
3.233,1.399E-2,-0.163
3.267,3.172E-2,-0.167
3.300,5.317E-2,-0.173
3.333,7.556E-2,-0.177
3.367,9.795E-2,-0.183
3.400,0.128,-0.189
3.433,0.156,-0.201
3.467,0.189,-0.215
3.500,0.225,-0.228
3.533,0.261,-0.241
3.567,0.301,-0.251
3.600,0.344,-0.260
3.633,0.386,-0.263
3.667,0.433,-0.265
3.700,0.474,-0.265
3.733,0.521,-0.263
3.767,0.563,-0.255
3.800,0.602,-0.241
3.833,0.643,-0.234
3.867,0.678,-0.225
3.900,0.710,-0.224
3.933,0.750,-0.219
3.967,0.785,-0.218
4.000,0.819,-0.220
4.033,0.854,-0.220
4.067,0.890,-0.226
4.100,0.925,-0.234
4.133,0.964,-0.243
4.167,1.007,-0.256
4.200,1.050,-0.269
4.233,1.092,-0.278
4.267,1.143,-0.288
4.300,1.194,-0.290
4.333,1.242,-0.285
4.367,1.288,-0.279
