t,x,y
1.500,-0.114,-0.143
1.533,-0.111,-0.141
1.567,-0.109,-0.141
1.600,-0.104,-0.142
1.633,-0.101,-0.144
1.667,-9.608E-2,-0.144
1.700,-8.955E-2,-0.145
1.733,-8.116E-2,-0.147
1.767,-7.090E-2,-0.147
1.800,-5.970E-2,-0.151
1.833,-4.571E-2,-0.152
1.867,-3.172E-2,-0.154
1.900,-1.866E-2,-0.156
1.933,-9.328E-4,-0.159
1.967,1.866E-2,-0.164
2.000,3.731E-2,-0.169
2.033,5.877E-2,-0.174
2.067,8.022E-2,-0.179
2.100,0.108,-0.187
2.133,0.132,-0.196
2.167,0.164,-0.205
2.200,0.198,-0.218
2.233,0.232,-0.230
2.267,0.270,-0.243
2.300,0.312,-0.254
2.333,0.353,-0.262
2.367,0.397,-0.264
2.400,0.444,-0.267
2.433,0.490,-0.261
2.467,0.534,-0.258
2.500,0.574,-0.250
2.533,0.614,-0.240
2.567,0.653,-0.230
2.600,0.688,-0.225
2.633,0.725,-0.218
2.667,0.758,-0.218
2.700,0.791,-0.215
2.733,0.826,-0.218
2.767,0.862,-0.223
2.800,0.899,-0.227
2.833,0.937,-0.236
2.867,0.977,-0.247
2.900,1.020,-0.259
2.933,1.063,-0.272
2.967,1.111,-0.286
