,mass A,,
t,x,y,
0.000,0.000,0.000
0.034,0.005,0.001
0.067,0.005,0.001
0.100,0.007,0.001
0.134,0.011,0.001
0.167,0.017,0.000
0.200,0.021,-0.002
0.234,0.030,-0.004
0.267,0.041,-0.005
0.300,0.052,-0.006
0.334,0.064,-0.009
0.367,0.077,-0.011
0.400,0.091,-0.014
0.434,0.110,-0.017
0.467,0.128,-0.018
0.500,0.148,-0.024
0.534,0.170,-0.031
0.567,0.193,-0.036
0.600,0.219,-0.045
0.634,0.251,-0.054
0.667,0.278,-0.063
0.700,0.313,-0.076
0.734,0.346,-0.087
0.767,0.384,-0.100
0.800,0.427,-0.111
0.834,0.470,-0.117
0.867,0.515,-0.122
0.900,0.560,-0.125
0.934,0.606,-0.122
0.967,0.650,-0.117
1.000,0.689,-0.108
1.034,0.731,-0.098
1.067,0.766,-0.088
1.100,0.804,-0.082
1.134,0.842,-0.077
1.167,0.874,-0.074
1.200,0.910,-0.074
1.234,0.943,-0.076
1.267,0.977,-0.078
1.300,1.014,-0.087
1.334,1.053,-0.094
1.367,1.094,-0.105
1.400,1.136,-0.120
1.434,1.179,-0.128
1.467,1.227,-0.142
1.500,1.279,-0.146
1.534,1.329,-0.146
1.567,1.372,-0.139
1.600,1.423,-0.130
